Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-01,Water - Precipitation - unspecified (not reported),2010-01-07,2010-01-07,2010-01-07,,-19,Environment Canada,-150,Environment Canada,,,,23.8,-2.6,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-02,Water - Precipitation - unspecified (not reported),2010-01-08,2010-01-08,2010-01-08,,-18.7,Environment Canada,-147,Environment Canada,,,,31.2,-3,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-03,Water - Precipitation - unspecified (not reported),2010-02-07,2010-02-07,2010-02-07,,-18.3,Environment Canada,-144,Environment Canada,,,,11.2,1.1,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-04,Water - Precipitation - unspecified (not reported),2010-03-08,2010-03-08,2010-03-08,,-12.7,Environment Canada,-109,Environment Canada,,,,9.8,1.7,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-05,Water - Precipitation - unspecified (not reported),2010-04-06,2010-04-06,2010-04-06,,-14.4,Environment Canada,-115,Environment Canada,,,,50.3,8.2,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-06,Water - Precipitation - unspecified (not reported),2010-04-08,2010-04-08,2010-04-08,,-8.2,Environment Canada,-92,Environment Canada,,,,9.4,7,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-07,Water - Precipitation - unspecified (not reported),2010-05-07,2010-05-07,2010-05-07,,-13.4,Environment Canada,-113,Environment Canada,,,,,,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-08,Water - Precipitation - unspecified (not reported),2010-06-06,2010-06-06,2010-06-06,,-10.6,Environment Canada,-89,Environment Canada,,,,57.1,15.3,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-09,Water - Precipitation - unspecified (not reported),2010-07-06,2010-07-06,2010-07-06,,-9.5,Environment Canada,-81,Environment Canada,,,,88.4,20.8,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-10,Water - Precipitation - unspecified (not reported),2010-08-06,2010-08-06,2010-08-06,,-11.3,Environment Canada,-102,Environment Canada,,,,3.6,23.9,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-11,Water - Precipitation - unspecified (not reported),2010-09-06,2010-09-06,2010-09-06,,-11.2,Environment Canada,-91,Environment Canada,,,,,20.7,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-12,Water - Precipitation - unspecified (not reported),2010-10-07,2010-10-07,2010-10-07,,-6.1,Environment Canada,-75,Environment Canada,,,,,,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-13,Water - Precipitation - unspecified (not reported),2010-11-06,2010-11-06,2010-11-06,,-13.1,Environment Canada,-116,Environment Canada,,,,18.8,9.2,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-14,Water - Precipitation - unspecified (not reported),2010-12-06,2010-12-06,2010-12-06,,-15.6,Environment Canada,-114,Environment Canada,,,,87.2,1.7,
GNIP-Events,GNIP/E/CA/03,OSOYOOS WEST,CA,7121502,49.03146667,-119.4651694,283,Precipitation collectors - unknown,"[Partners: Environment Canada], [Reference: Wassenaar et al. 2011]",OsoyoosWest-15,Water - Precipitation - unspecified (not reported),2010-12-07,2010-12-07,2010-12-07,,-18.9,Environment Canada,-142,Environment Canada,,,,,,
GNIP-Events,GNIP/E/CR/02,HEREDIA (UNIVERSIDAD NACIONAL),CR,,10.00036389,-84.10913333,1173,Precipitation collectors - standard - open funnel,"https://doi.org/10.1016/j.quascirev.2015.08.028 | https://doi.org/10.1002/2016GL068888 | https://doi.org/10.1080/10256016.2016.1193503 |
https://doi.org/10.1002/hyp.11088 |
https://doi.org/10.1038/s41467-019-12062-3 |
https://doi.org/10.1002/hyp.13758",UN-001,Water - Precipitation - rain,2013-03-20,2013-03-19,2013-03-20,,-1.8,UNASIL - Universidad Nacional,1.128,UNASIL - Universidad Nacional,,,,4.6,,
GNIP-Events,GNIP/E/CR/02,HEREDIA (UNIVERSIDAD NACIONAL),CR,,10.00036389,-84.10913333,1173,Precipitation collectors - standard - open funnel,"https://doi.org/10.1016/j.quascirev.2015.08.028 | https://doi.org/10.1002/2016GL068888 | https://doi.org/10.1080/10256016.2016.1193503 |
https://doi.org/10.1002/hyp.11088 |
https://doi.org/10.1038/s41467-019-12062-3 |
https://doi.org/10.1002/hyp.13758",UN-002,Water - Precipitation - rain,2013-04-01,2013-03-31,2013-04-01,,-1.767,UNASIL - Universidad Nacional,-17.983,UNASIL - Universidad Nacional,,,,3.8,,
GNIP-Events,GNIP/E/CR/02,HEREDIA (UNIVERSIDAD NACIONAL),CR,,10.00036389,-84.10913333,1173,Precipitation collectors - standard - open funnel,"https://doi.org/10.1016/j.quascirev.2015.08.028 | https://doi.org/10.1002/2016GL068888 | https://doi.org/10.1080/10256016.2016.1193503 |
https://doi.org/10.1002/hyp.11088 |
https://doi.org/10.1038/s41467-019-12062-3 |
https://doi.org/10.1002/hyp.13758",UN-003,Water - Precipitation - rain,2013-04-05,2013-04-04,2013-04-05,,-3.353,UNASIL - Universidad Nacional,-6.95,UNASIL - Universidad Nacional,,,,18.8,,
GNIP-Events,GNIP/E/CR/02,HEREDIA (UNIVERSIDAD NACIONAL),CR,,10.00036389,-84.10913333,1173,Precipitation collectors - standard - open funnel,"https://doi.org/10.1016/j.quascirev.2015.08.028 | https://doi.org/10.1002/2016GL068888 | https://doi.org/10.1080/10256016.2016.1193503 |
https://doi.org/10.1002/hyp.11088 |
https://doi.org/10.1038/s41467-019-12062-3 |
https://doi.org/10.1002/hyp.13758",UN-004,Water - Precipitation - rain,2013-04-12,2013-04-11,2013-04-12,,-2.519,UNASIL - Universidad Nacional,-0.966,UNASIL - Universidad Nacional,,,,20.4,,
