"Sample Site Name","Long","Lat","Alt.m"
"ABERDARES",36.65,-0.41,3000
"ACAJUTLA",-89.833,13.568,4
"ALERT (RPB)",-62.3333333333333,82.5,62
"ALTO LIMA",-68.0162118,-16.455802,4269
"ANGREN",70.098781,41.011897,917
"ARATA",-64.358288,-35.643533,215
"ARNOS VALE",-61.21,13.14,20
"BAHIA BLANCA",-62.16,-38.47,5
"BARBADOS (CIMH)",-59.624,13.148,111
"BARILOCHE",-71.33,-41.15,790
"BARRANQUILLA (IDEAM)",-74.77970833,10.88224722,23
"BARREIRAS (CPRM)",-45,-12.15,449
"BASEL",7.58371692988,47.5426086672,316
"BELEM (CPRM)",-48.48,-1.45,13
"BELO HORIZONTE-CDTN",-43.9673333333333,-19.8708611111111,857
"BELP",7.49,46.89,520
"BOGOTA",-74.13,4.7,2547
"BORDELAIS",-60.89552,13.89668,186
"BUCHS SUHR",8.08313824523,47.3723359688,397
"CALGARY (RPB)",-114.016666666667,51.0166666666667,1049
"CAMBRIDGE BAY (RPB)",-105.1372222,69.10805556,31.1
"CAMPO GRANDE (CPRM)",-54.67,-20.47,572
"CANADA EL CARMEN",-62.339,-21.628,271
"CANALS",-62.89,-33.56,126
"CAYENNE",-52.32,4.93,2
"CD. JUAREZ (RENIP)",-106.362647,31.65993,1117
"CD. VICTORIA (RENIP)",-99.16989,23.74246,329
"CENGICANA",-91.055468,14.330962,300
"CHARLOTTETOWN (RPB)",-63.11916667,46.28916667,48.5
"CHATKAL BIOSPHERE RESERVE",69.819242,41.175911,1150
"CHETUMAL (RENIP)",-88.32752,18.50041,19
"CHICONAUTLA II (RENIP)",-99.109005,19.515761,2277
"CHIHUAHUA (RENIP)",-106.03097,28.67085,1405
"CHILECITO",-67.44,-29.15,981
"CHILPANCINGO (RENIP)",-99.54,17.54,1253
"CHIMGAN",70.02341944,41.52655833,1677
"CHURCHILL (RPB)",-94.06,58.75,5
"CIENFUEGOS (CEAC)",-80.48231667,22.06538333,20
"CIUDAD DEL ESTE",-54.83871667,-25.45590833,247
"CIUDAD UNIVERSITARIA (BUENOS AIRES)",-58.28,-34.38,5
"COATZACOALCOS",-94.47672222,18.14388889,13.5
"COCHABAMBA (LHUMSS)",-66.143184,-17.449313,2577
"CORAL HARBOUR (RPB)",-83.61666667,64.33333333,57
"CUIABA (CPRM)",-56.1,-15.6,180
"CULIACAN (RENIP)",-107.4,24.8,71
"CUMBAYA",-78.436,-0.1968,2380
"CURITIBA (CPRM)",-49.27,-25.43,940
"DIGBY (RPB)",-65.78333333,44.55,152.1
"DURANGO (RENIP)",-104.6666667,24.01666667,1890
"EDMONTON (RPB)",-113.52,53.57,671
"EDMUNDSTON (RPB)",-68.32334444,47.41666667,154.2
"EENHANA",16.33198,-17.475744,1099
"EL BOQUERON",-89.2805555555556,13.7319444444444,1800
"EL PLATANAR",-90.937833,14.559667,1578
"ESPOCH",-78.68,-1.65,2820
"EZEIZA (CNEA)",-58.57258333,-34.82175,11.41
"FERGANA",71.778767,40.372519,580
"FREDERICO WHESTPHALEN (CPRM)",-53.39,-27.36,555
"FREDERICTON (RPB)",-66.60889167,45.92027778,35.1
"GALAPAGOS (GAIAS-USFQ)",-89.609,-0.8968,15
"GOBABEB",15.0413125,-23.5618364,242
"GOIANIA (CPRM)",-49.25,-16.7,780
"GOOSE BAY (RPB)",-60.42,53.32,46
"GRAECHEN - ST. NIKLAUS",7.84117,46.20239,1550
"GREENWOOD (RPB)",-64.91666667,44.98333333,28
"GRIMSEL",8.33271962058,46.5724847069,1950
"GUADALAJARA (RENIP)",-103.39257,20.70659,1568
"GUTTANNEN",8.29270683241,46.657725176,1055
"HALIFAX (RPB)",-63.50861111,44.88111111,145.4
"HAVANA (CPHR)",-82.2166666666667,23.05,137
"HEREDIA",-84.1,9.93,1150
"HERMOSILLO (RENIP)",-110.93046,29.0785,209
"HONGSEONG",126.635925,36.55530278,62
"IMTA CUERNAVACA (RENIP)",-99.158783,18.8838,1344
"INGENIERO JACOBACCI",-69.551489,-41.335753,875
